text,outcome
"A post claims compulsory vacination violates the principles of bioethics, that coronavirus doesnâ€™t exist, that the PCR test returns many false positives, and that influenza vaccine is related to COVID-19.",fake
A photo claims that this person is a doctor who died after attending to too many COVID-19 patinents in Hospital MuÃ±iz in Buenos Aires.,fake
Post about a video claims that it is a protest against confination in the town of Aranda de Duero (Burgos),fake
"All deaths by respiratory failure and pneumonia are being registered as COVID-19, according to the Civil Registry website.",fake
The dean of the College of Biologists of Euskadi states that there are a lot of PCR false positives and asymptomatic donâ€™t spread coronavirus.,fake
"Households with COVID-19 patients in Porto Alegre, Campo Grande and Santo AntÃ´nio da Platina must put a red ribbon on their garbage bags. Garbagemen are instructed to handle them in a safer way",fake
A chain lists recommendations to prevent and treat coronavirus.,fake
"60,000 Argentinian companies have closed due to COVID-19; also, all companies receiving government aid during the pandemic will be expropriated by the government",fake
Social media posts criticize a photo from smiling president of the Goverment Pedro SÃ¡nchez during his holidays after thousands died from COVID-19,fake
CDC has released an update on how the novel coronavirus can be transmitted,fake
Good oral hygiene destroys the coronavirus and prevents its spread,fake
A video shows Pakistani minister of Health slapping those who do not obey official measures,fake
"A Brazilian deputee says the pandemic has started to decrease in his state, Rio Grande do Sul",fake
WHO warns against consuming cabbage to prevent COVID-19,fake
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,fake
There is evidence that chlorine dioxide cures COVID-19,fake
A video shows Pakistani minister of Health slapping those who do not obey official measures,fake
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,fake
Coronavirus does not settle in air but is grounded â€“ UNICEF,fake
Coronavirus does not float in air but is grounded â€“ UNICEF,fake
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œRight now [there is] a strict quarantine in Barcelonaâ€",fake
A list of alleged remedies to treat coronavirus.,fake
Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry â€“ UNICEF,fake
COVID-19 is being controlled in Africa because of widespread distribution of ivermectin,fake
A post claims that PCR test â€œcause damage to the blood-brain barrierâ€ or â€œcreate a direct entrance to the brain for any infection.â€,fake
Supposed tweet form Berlin Police claims there was 3.5 million people at an August 1st rally in Berlin against coronavirus meassures.,fake
Covid â€“ 19 is a bacteria amplified by 5G technology,fake
A post spreading on WhatsApp claims there are 50 hospital guards job oppenings at IFEMA hospital in Madrid.,fake
A photo shows hand sanitizer being sold in a vitamin D box,fake
"There was a 78% fall on Chinese product sales in Brazil due to a boycott motivated by the pandemic, acording to INCINT",fake
A photo collage claims to show images taken during a protest against coronavirus restrictions in Germany in August 2020.,fake
Police can raid private spaces in MedellÃ­n for breach of the Dry Law,fake
A post showing a health worker from the MuÃ±iz Hospital (Argentina) who died from treating patients with COVID-19,fake
Fact Check: Neither The Viral Post On Coronavirus (COVID-19) Is From UNICEF Nor It Is Accurate,fake
COVID-19 vaccines will cause infertility â€“ do not get vaccinated,fake
A video supposedly showing a dead COVID-19 victim raising his hand while being lifted away by health workers proves the global pandemic is a hoax.,fake
COVID-19 has its own pH value,fake
â€˜Doctors for the truthâ€™ make claims about the coronavirus.,fake
Chinese vaccines contain a microchip that receives 5G signals and allow Chinese government to interfere with your RNA,fake
"There was a 30% fall on Chinese product sales in the Brazilian state of Santa Catarina, due to a boycott motivated by the pandemic",fake
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,fake
The WHO said â€œthere is no solution and perhaps never will beâ€ for coronavirus.,fake
"Fact Check: No, COVID-19 Doesnâ€™t Have Its Own PH Value, Experts Advice Boosting Immunity To Fight Against Coronavirus",fake
An image states that mask use causes pneumonia and hypoxia,fake
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,fake
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,fake
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,fake
"Pedro Sanchez, president of government of Spain, spoke about a Scientific Committee and now the government recognize that committee never existed.",fake
"Mask can cause a lot of diseases, the WHO has said, and asymptomatic patients donâ€™t pass on the virus. Also, there is a lot of false positive PCR tests.",fake
An image from an episode of Futurama claims the show forbade time to travel back to 2020.,fake
Photo from the demonstration against meassures by the German government to stop the pandemic.,fake
Spanish Prime Minister Pedro Sanchez told people to invest in Bitcoin during the pandemic,fake
"A video shows a mannequin being taken out of an ambulance, and claims the media is trying to fool the audience to make them think itâ€™s a COVID-19 patient.",fake
"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the Covid-19 pandemic.",fake
"Facebook posts shared thousands of times claim Washingtonâ€™s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a â€œhigh-riskâ€ state for the coronavirus.",fake
"A picture allegedly showing a large crowd (more than a million people) gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the COVID-19 pandemic.",fake
A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against coronavirus restrictions in Germany in August 2020.,fake
A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020.,fake
"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the â€œHealth dictatorshipâ€ imposed by the government to stop the Covid-19 pandemic.",fake
"List of substances that cure coronavirus, according to a Cali doctor.",fake
Adidas is giving away face masks.,fake
A street protest criticizing Japanese Prime Minister Shinzo Abeâ€™s government is the source of the â€œnight life city clusterâ€,fake
63 intensive care beds were occupied by infected protesters,fake
A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with coronavirus,fake
An image published by the Argentine journalist Viviana Canosa of two people not respecting social distancing at the Casa Rosada,fake
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",fake
"Tasuku Honjo, Nobel Prize in Medicine, said that the coronavirus â€œis not naturalâ€",fake
The vaccine against the new coronavirus has existed since 2001,fake
A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with coronavirus,fake
A post that claims that cigarette smoke transmits the coronavirus,fake
Adidas is giving away face masks.,fake
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",fake
South Korea study finds quarantines useless in combating COVID-19,fake
Multiple Facebook posts shared hundreds of times claim â€œviruses do not harm or kill [people]â€ and that any â€œharm and deathâ€ caused by a virus can be attributed to â€œthe overreaction of a weakened and dysfunctional immune systemâ€.,fake
63 intensive care beds were occupied by infected protesters,fake
The new coronavirus vaccine has â€œdigitizable RNAâ€ that is â€œactivated by 5Gâ€ and can reactivate the virus.,fake
"Children vaccinated against the flu are at a significantly higher risk of contracting other respiratory infections, including coronaviruses.",fake
"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID-19",fake
"A combination for hydroxychloroquine, azitromicin and zinc that is guaranteed to cure 99.9% of any COVID-19 patient",fake
"Lojas Americanas, a Brazilian retail company, is offering free gift cards for families in distress caused by the pandemic",fake
The vaccine against the new coronavirus has existed since 2001,fake
Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex.,fake
"Brazilian City Halls receive R$ 19,000 in federal funding for each recorded COVID-19 death.",fake
Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex.,fake
"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.",fake
"Ziraldo, Brazilian cartoon artist, stated that all mayors who ordered lockdowns will not be reelected",fake
Gargling water mixed with salt or vinegar will get rid of the novel coronavirus from oneâ€™s throat.,fake
A doctor claims most Belgians are immune to COVID-19,fake
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",fake
An image claims that an immigrant who tested â€œpositive for COVID-19â€ and â€œarrived in a boat yesterdayâ€ has fled in the Calpe area (Alicante). The alleged escapeeâ€™s full name as well as the photo of the alleged escape appear in the image. It also claims the man fled the El Matorral detention center.,fake
"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the coronavirus",fake
"During COVID-19 PCR test, microships are integrated to human bodies",fake
Chloroquine is the cure for COVID-19 and masks should not be used.,fake
The flu vaccine caused the spread of COVID-19.,fake
A post claims several medicine combinations cure COVID-19,fake
Chlorine dioxide removes the coronavirus from the body within 48 hours,fake
"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",fake
Wearing a mask lowers the blood oxygen level.,fake
"Philippine Education Secretary Leonor Briones is shown quoted as saying classes will resume on Aug. 24 amid the COVID-19 pandemic and that â€œif we die, we die.â€",fake
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",fake
"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",fake
Wearing a mask lowers the blood oxygen level.,fake
"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the coronavirus",fake
"A doctor recommends the use of ivermectin, hydroxychloroquine, chlorine dioxide and interferon to cure coronavirus.",fake
CoronaVac uses cells from aborted fetuses.,fake
"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people donâ€™t need to wear masks or practice physical distancing in a Breitbart video featuring a group called Americaâ€™s Frontline Doctors.",fake
A group called Americaâ€™s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures COVID-19.,fake
"A news article claims 30% of Ukrainian patients who participated in an American COVID-19 vaccine trial died. The test took place in the area of Lugansk, an Ukrainian separatist region",fake
"Spanish Prime Minister, Pedro SÃ¡nchez, said this Monday, July 27 in an interview for â€˜Informativos Telecincoâ€™ that [min. 1:19] â€œin most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist [â€¦] on the average also for the United Kingdomâ€.",fake
